物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
119,$裂地斧,1,91,2;2,2001;2006,0,,0,192;155,,2550,1275,4060;4456;4184;19267,1;1;2;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70攻击力<br>+10%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻对目标周围敌人造成（0.4*普攻输出）的物理伤害。[/blue]<br>[yellow]唯一被动：[/yellow][blue]对小兵和野怪伤害提升50%[/blue],$[green]+70攻击力<br>+10%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻对目标周围敌人造成（0.4*普攻输出）的物理伤害。[/blue]<br>[yellow]唯一被动：[/yellow][blue]对小兵和野怪伤害提升50%[/blue],0,1,[size=18][orange]带线分推[/orange][/size]
215,$负离子炮,1,23,2;2;2,2001;2004;2006,0,,0,173;155;203,,2700,1350,19012;19013;19014;19015,1;1;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+55攻击力<br>+20%暴击概率<br>+15%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对最大生命值超过3000的敌方英雄的伤害提升20%[/blue],$[green]+55攻击力<br>+20%暴击概率<br>+15%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对最大生命值超过3000的敌方英雄的伤害提升20%[/blue],0,1,[size=18][orange]暴击流打坦克[/orange][/size]
153,$骑士长剑,1,85,2,2001,0,,0,,118;122;121,1280,640,4409,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+45攻击力[/green],$[green]+45攻击力[/green],1,1,  
159,$精钢锤,1,42,2;2,2003;2001,0,,0,175,117;212,1200,600,4417;4418,2;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+10护甲穿透[/blue],$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+10护甲穿透[/blue],1,1,  
191,$刺客飞刀,1,17,2,2001,0,,0,175;175,116,1300,650,5172;5278,1;2,5387,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2013,,,,$[green]+25攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]在你释放技能后，下次普攻命中敌人时造成（50+英雄等级*3）点额外物理伤害，冷却2秒[/blue],$[green]+25攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]在你释放技能后，下次普攻命中敌人时造成[orange][LEVEL=300+50][/orange]点额外物理伤害，冷却2秒[/blue],1,1,  
199,$寒冰连枷,1,25,2;6,2001;6001,0,,0,175;176,211,1000,500,5179;6508;19238;6277;19300;19302,1;2;2;2;2;2,4027;19301;19303,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2044,,,,$[green]+20攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成（30+英雄等级）点的法术伤害，且每秒最多回复自身（30+英雄等级）点的生命值[/blue],$[green]+20攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成[LEVEL=100+30]点的法术伤害，且每秒最多回复自身[LEVEL=100+30]点的生命值[/blue],1,1,  
193,$契约之锤,1,43,2;4,2001;4001,0,,0,175;171,132,900,450,5174;5470,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2027,,,,$[green]+15攻击力<br>+200生命值[/green],$[green]+15攻击力<br>+200生命值[/green],1,1,  
198,$追风,1,15,2;2,2002;2004,0,,0,173;174,127;216;210,1100,550,5472;5473,1;1,4364,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+25%攻击速度<br>+15%暴击概率[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+25%攻击速度<br>+15%暴击概率[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],1,1,  
196,$异能碎片,1,61,2,2001,0,,0,,,1430,715,5248;5471,2;1,5390,,,,,0,0,0,0,0,1,6,,,,,,$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），当充满时，你的下次技能攻击在命中敌方英雄时会造成150（+0.15*AD）点额外魔法伤害。冷却15秒。[/blue],$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），当充满时，你的下次技能攻击在命中敌方英雄时会造成150[/blue][orange]（+[PA=15]）[/orange][blue]点额外魔法伤害。冷却15秒。[/blue],1,1,  
155,$鲜血誓约,1,37,2;2,2001;2006,0,,0,175,141;121;119;215,900,450,4411;132,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20攻击力<br>+10%生命偷取[/green],$[green]+20攻击力<br>+10%生命偷取[/green],1,1,  
214,$贪婪之刃,1,111,2;1,2004,0,,0,,,950,475,19007;19008;19010,1;2;2,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+10%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对野怪和敌方小兵额外造成（60*普攻伤害）点的物理伤害，击杀野怪和敌方小兵额外获得10金币[/blue],$[green]+10%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对野怪和敌方小兵额外造成（60*普攻伤害）点的物理伤害，击杀野怪和敌方小兵额外获得10金币[/blue],0,1,[size=18][orange]核心纯发育装[/orange][/size]
176,$狩猎长矛,1,53,6;1;1,6001;1001;1002,0,,0,,244;225;199,600,300,6277;3508,2;1,4027,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成（30+英雄等级）点的法术伤害，且每秒最多回复自身（30+英雄等级）点的生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]首次击杀野怪可获得额外经验[/blue],$[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成[LEVEL=100+30]点的法术伤害，且每秒最多回复自身[LEVEL=100+30]点的生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]首次击杀野怪可获得额外经验[/blue],1,1,[size=18][orange]打野必带出门装[/orange][/size]
152,$水晶剑,1,86,2;2,2001;2005,0,,0,175,117;133;209;212;211,885,443,4407;4408,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20攻击力<br>+10%冷却缩减[/green],$[green]+20攻击力<br>+10%冷却缩减[/green],1,1,  
154,$恶魔拳套,1,21,2,2004,0,,0,,118,720,360,4410,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20%暴击概率[/green],$[green]+20%暴击概率[/green],1,1,  
156,$魔剑,1,18,2;4,2001;4003,0,,0,175;170,120,975,488,4412;4413,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20攻击力<br>+25魔抗[/green],$[green]+20攻击力<br>+25魔抗[/green],1,1,  
158,$速射短弓,1,40,2,2002,0,,0,174;174,126;141;130,785,393,4416,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+35%攻击速度[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+35%攻击速度[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],1,1,  
197,$锯齿匕首,1,16,2,2001,0,,0,175;175,123,1130,565,5177;4178,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]技能和普攻在命中英雄时会施加4秒重伤效果。[/blue],$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]技能和普攻在命中英雄时会施加4秒重伤效果。[/blue],1,1,  
192,$荒原链锤,1,26,2,2001,0,,0,175;175,119,1175,588,5173;5261,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会对目标周围的敌人造成30%的物理伤害[/blue],$[green]+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会对目标周围的敌人造成[PASD=[PA=30]]点的物理伤害[/blue],1,1,  
146,$海洋之心,1,74,2;2,3002;3004,0,,0,169;243,224,1000,500,4451;4452;5511,1;1;2,5512,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+300法力值<br>+15%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]每隔90秒，你会在3秒内共回复150法力值。[/blue],$[green]+300法力值<br>+15%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]每隔90秒，你会在3秒内共回复150法力值。[/blue],1,1,  
203,$铁锄,1,99,2,2001,0,,0,,118;122;133;213;120;130;131;215,795,398,4055,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+25攻击力[/green],$[green]+25攻击力[/green],1,1,  
229,$长者剑,1,187,2;2,2001;2007,0,,0,,,1000,500,19159;19160;19161,1;1;1,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+25攻击力<br>+250法力值<br>+100%基础法力回复[/green],$[green]+25攻击力<br>+250法力值<br>+100%基础法力回复[/green],1,1,  
230,$疾风太刀,1,109,4;2;7,4001;2001;7001,0,,0,171;175,,1300,650,19162;19021;19237,1;2;1,19024,,,,,0,0,0,0,0,1,6,,,,,,$[green]+200生命值<br>+15攻击力[/green]<br>[yellow]唯一被动_太刀之风：[/yellow][blue]在周围范围内存在敌方英雄时，自己增加15%的移动速度[/blue],$[green]+200生命值<br>+15攻击力[/green]<br>[yellow]唯一被动_太刀之风：[/yellow][blue]在周围范围内存在敌方英雄时，自己增加15%的移动速度[/blue],1,1,  
174,$短弓,1,39,2,2002,0,,0,,116;127;126;216;198;158,300,150,4431,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+12%攻击速度[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+12%攻击速度[/green]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],1,1,  
175,$长剑,1,19,2,2001,0,,0,,122;209;213;121;123;211;159;191;199;193;155;152;156;197;192;230;163,320,160,4432,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+10攻击力[/green],$[green]+10攻击力[/green],1,1,  
173,$格斗手套,1,22,2,2004,0,,0,,127;216;210;215;198,400,200,4430,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+10%暴击概率[/green],$[green]+10%暴击概率[/green],1,1,  
163,$战士之靴,1,58,7,7001,0,,0,179;175,,1260,630,4422;4443,1;3,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+25攻击[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],$[green]+25攻击[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],0,1,  
164,$法师之靴,1,57,7;3,7001;3003,0,,0,179,,1000,500,4444;124,3;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+15法术穿透[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],$[green]+15法术穿透[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],0,1,  
166,$泰坦之靴,1,55,7,7001,0,,0,179;171,,1050,525,4423;4446,1;3,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+250生命值[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],$[green]+250生命值[/green]<br>[yellow]唯一被动_强化移动：[/yellow][blue]+70移速[/blue],0,1,  
177,$财富腰牌,1,27,4;1;5,4001;1002;5001,0,,0,,,600,300,4433;5420,1;2,3977,,,,,0,0,0,0,0,1,6,,,,,,$[green]+150生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]当你的15米范围内有友方英雄时，你不参与小兵死亡时金币的分成，但是会获得7金币的装备奖励；当附近没有友方英雄时，你可以正常获得小兵死亡时的金币。[/blue],$[green]+150生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]当你的15米范围内有友方英雄时，你不参与小兵死亡时金币的分成，但是会获得7金币的装备奖励；当附近没有友方英雄时，你可以正常获得小兵死亡时的金币。[/blue],1,1,[size=18][orange]辅助让钱装[/orange][/size]
178,$财富项链,1,28,3;1;5,3001;1002;5001,0,,0,,,600,300,19257;5420,1;2,3977,,,,,0,0,0,0,0,1,6,,,,,,$[green]+18法强[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]当你的15米范围内有友方英雄时，你不参与小兵死亡时金币的分成，但是会获得7金币的装备奖励；当附近没有友方英雄时，你可以正常获得小兵死亡时的金币[/blue],$[green]+18法强[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]当你的15米范围内有友方英雄时，你不参与小兵死亡时金币的分成，但是会获得7金币的装备奖励；当附近没有友方英雄时，你可以正常获得小兵死亡时的金币[/blue],1,1,[size=18][orange]辅助让钱装[/orange][/size]
179,$布鞋,1,59,7,7001,0,,0,,163;164;166;234;235;241,300,150,4448,3,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动_强化移动：[/yellow][blue]+40移速[/blue],$[yellow]唯一被动_强化移动：[/yellow][blue]+40移速[/blue],1,1,  
180,$无畏指环,1,35,1;3;4,1002;3001;4001,0,,0,,,700,350,5165;5166;5258,1;1;2,5383,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2049,,,,$[green]+20法强<br>+90生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），充满时获得致命一击效果。下次普攻或技能命中英雄时造成40点额外魔法伤害。[/blue],$[green]+20法强<br>+90生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），充满时获得致命一击效果。下次普攻或技能命中英雄时造成40点额外魔法伤害。[/blue],1,1,   
181,$无畏战刃,1,14,1;2;4,1002;2001;4001,0,,0,,,700,350,19258;5168;5259,1;1;2,5384,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2050,,,,$[green]+14攻击力<br>+100生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），充满时获得致命一击效果。下次普攻或技能命中英雄时造成40点额外魔法伤害。[/blue],$[green]+14攻击力<br>+100生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]装备随时间充能（普攻或技能会打断），充满时获得致命一击效果。下次普攻或技能命中英雄时造成40点额外魔法伤害。[/blue],1,1,   
182,$无畏护臂,1,8,1;4,1002;4001,0,,0,,,700,350,5169;5275;5264;5254,1;1;2;1,5385,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,5051,,,,$[green]+150生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]每5秒回复6点生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]获得一个护盾，护盾值为70，当被打破后，10秒内不受攻击会让护盾刷新。[/blue],$[green]+150生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]每5秒回复6点生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]获得一个护盾，护盾值为70，当被打破后，10秒内不受攻击会让护盾刷新。[/blue],1,1,   
183,$侦查守卫,1,67,1,1001,0,,0,,206,0,0,2228,1,,,,,7;8;9;10;13;14;15,0,1,1,0,0,1,6,,2040,401,,,$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每120秒储存一次充能，最多可有2层充能。[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每120秒储存一次充能，最多可有2层充能。[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],1,1,  
184,$真视守卫,1,68,1,1001,0,,0,,,500,38,2228,1,,,,,,0,1,1,0,0,1,6,,2040,401,,,$[yellow]点击使用：[/yellow][blue]消耗一层充能召唤出一个隐形守卫，来监视一片区域，持续60秒。总共三层充能，每120秒回复一层充能。每个英雄最多召唤3个。[/blue],$[yellow]点击使用：[/yellow][blue]消耗一层充能召唤出一个隐形守卫，来监视一片区域，持续60秒。总共三层充能，每120秒回复一层充能。每个英雄最多召唤3个。[/blue],1,1,  
185,$飞行卷轴,2,1,1,1001,0,,0,,,100,50,4359,1,4361,,,,,1,0,1,1,1,1,6,,,,,,$<br>[yellow]快捷键T[/yellow]<br>[blue]有了飞行卷轴就可以召唤翅膀，展翅高飞。[/blue],$<br>[yellow]快捷键T[/yellow]<br>[blue]有了飞行卷轴就可以召唤翅膀，展翅高飞。[/blue],1,1,  
189,$预言宝石,1,66,1,1001,0,,0,,,500,200,3345,1,,,,,7;8;9;10;13;14;15,0,1,1,0,0,1,6,,2037,401,,,$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每90秒储存一次充能，最多可持续3层充能。回到泉水可以一次性补满充能层数。（每个玩家最多只能在地图上放置3个隐形守卫）[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每90秒储存一次充能，最多可持续3层充能。回到泉水可以一次性补满充能层数。（每个玩家最多只能在地图上放置3个隐形守卫）[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],1,1,  
206,$陷阱真眼,1,68,1,1001,0,,0,183,,500,25,6666,1,,,,,7;8;9;10;13;14;15,0,1,1,0,0,1,1,,2040,1304,,,$[yellow]点击使用：[/yellow][blue]消耗一层充能召唤出一个陷阱守卫，当隐身单位靠近半径15米时，暴露该单位视野10秒后消失，守卫存在5分钟。总共三层充能，每120秒回复一层充能。每个英雄最多召唤3个。[/blue],$[yellow]点击使用：[/yellow][blue]消耗一层充能召唤出一个陷阱守卫，当隐身单位靠近半径15米时，暴露该单位视野10秒后消失，守卫存在5分钟。总共三层充能，每120秒回复一层充能。每个英雄最多召唤3个。[/blue],1,1,  
186,$狂暴药剂,2,64,1,1001,0,,0,,,500,250,,,,,,,7;8;9;10;13;14;15,1,0,1,1,0,1,6,1193,,,,,$[yellow]点击饮用：[/yellow][blue]+30攻击力，+15%物理吸血，+15%法术吸血。持续3分钟。[/blue],$[yellow]点击饮用：[/yellow][blue]+30攻击力，+15%物理吸血，+15%法术吸血。持续3分钟。[/blue],1,1,  
187,$倍化药剂,1,65,1,1001,0,,0,,,500,250,,,,,,,7;8;9;10;13;14;15,1,0,1,1,0,1,6,1196,,,,,$[yellow]点击饮用：[/yellow][blue]+10%最大生命值，并获得[/blue][orange]攻城先锋[/orange][blue]能力。持续3分钟。[/blue]<br>[orange]攻城先锋：[/orange][blue]减少30%来自防御塔的伤害。[/blue],$[yellow]点击饮用：[/yellow][blue]+10%最大生命值，并获得[/blue][orange]攻城先锋[/orange][blue]能力。持续3分钟。[/blue]<br>[orange]攻城先锋：[/orange][blue]减少30%来自防御塔的伤害。[/blue],1,1,  
188,$巫毒药剂,1,63,1,1001,0,,0,,,500,250,,,,,,,7;8;9;10;13;14;15,1,0,1,1,0,1,6,1197,,,,,$[yellow]点击饮用：[/yellow][blue]+10%法强，+10%冷却缩减。持续3分钟。[/blue],$[yellow]点击饮用：[/yellow][blue]+10%法强，+10%冷却缩减。持续3分钟。[/blue],1,1,  
231,$贤者之石,1,119,4;3,4001;3002,0,,0,171,135;124,800,400,19163;20600,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+200生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷却缩减[/blue],$[green]+200生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷却缩减[/blue],1,1,  
234,$迅捷之靴,1,155,7,7001,0,,0,179,,1000,500,125;1194,3;2,,125;1194,3;3,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+92移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]受到的减速效果减少25%[/blue],$[yellow]唯一被动 强化移动：[/yellow][blue]+92移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]受到的减速效果减少25%[/blue],0,1,  
235,$行军之靴,1,56,7,7001,0,,0,179,,1000,500,4443;19246;19247;19249;19250,3;1;1;2;2,19248,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]脱离战斗移速增加20%[/blue],$[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]脱离战斗移速增加20%[/blue],0,1,  
241,$羽化之靴,1,209,7,7001,0,,0,179,,2000,1000,19206;19207,3;2,19208;19226;19253,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2047,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+100移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]可以任何地方按T键免费使用翅膀，每60秒可以使用1次[/blue],$[yellow]唯一被动 强化移动：[/yellow][blue]+100移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]英雄可以使用翅膀，每60秒可以使用1次[/blue],0,1,  
242,$回复挂坠,1,29,2;3;4;5,2006;3005;4005;5001,0,,0,,239,180,90,19251,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+50%生命回复[/green],$[green]+50%生命回复[/green],1,1,  
243,$法力指环,1,36,2;3;5,2007;3006;5001,0,,0,,157;240;202;146,150,75,19252,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30%法力回复[/green],$[green]+30%法力回复[/green],1,1,  
245,$风行利刃(主动),1,83,2;2;2,2001;2003;2005,0,,0,,,2700,675,4057;6120;19270;19318,1;2;1;1,6973,,,,15,0,0,0,0,0,1,6,,2052,1420,,,$[green]+65攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20穿甲[/blue]<br>[yellow]唯一主动 隐身：[/yellow][blue]读条3秒后自身处于隐身状态，移动速度提高30%，持续20秒，冷却120秒[/blue][red]（死亡后掉落）[/red],$[green]+65攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20穿甲[/blue]<br>[yellow]唯一主动 隐身：[/yellow][blue]读条3秒后自身处于隐身状态，移动速度提高30%，持续20秒，冷却120秒[/blue][red]（死亡后掉落）[/red],0,1,[size=18][orange]前期游走[/orange][/size]
246,$羽化之靴（主动）,1,209,7,7001,0,,0,,,3500,875,19206;19207;19319;19337;19338,3;2;1;1;1,19208;19226;19253;6974,,,,15,0,0,0,0,0,1,6,,2060,,,,$[green]+35攻击力<br>+30%攻击速度[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+100移速[/blue]<br>[yellow]唯一主动 翅膀：[/yellow][blue]点击后进入飞行状态，冷却180秒[/blue][red]（死亡后掉落）[/red],$[green]+35攻击力<br>+30%攻击速度[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+100移速[/blue]<br>[yellow]唯一主动 翅膀：[/yellow][blue]点击后进入飞行状态，冷却180秒[/blue][red]（死亡后掉落）[/red],0,1,  
247,$斩裂剑(主动),1,87,4;2;2,4001;2001;2005,0,,0,,,2750,687,4082;4083;4221;19273;19320,1;1;2;2;1,6975,4221,2,,15,0,0,0,0,0,1,6,,2053,1421,,,$[green]+300生命值<br>+50攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]对英雄每造成一次物理伤害就会减少其5%护甲（最低间隔0.5秒），减甲效果持续3秒，最多叠5层。[/blue]<br>[yellow]唯一主动 魔躯：[/yellow][blue]自身立即驱散所有控制效果并免疫控制状态，持续5秒[/blue][red]（死亡后掉落）[/red],$[green]+300生命值<br>+50攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]对英雄每造成一次物理伤害就会减少其5%护甲（最低间隔0.5秒），减甲效果持续3秒，最多叠5层。[/blue]<br>[yellow]唯一主动 魔躯：[/yellow][blue]自身立即驱散所有控制效果并免疫控制状态，持续5秒[/blue][red]（死亡后掉落）[/red],0,1,[size=18][orange]物理前排对刚[/orange][/size]
248,$巨龙狩猎者(主动),1,41,2;2,2001;2002,0,,0,,,2600,650,4076;4077;19000;19321,1;1;2;1,6976,,,,15,0,0,0,0,0,1,6,,2054,1422,,,$[green]+30攻击力<br>+40%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附带额外物理伤害，伤害量相当于目标当前生命值的5%/基础攻速（对野怪无效）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue]<br>[yellow]唯一主动 狩猎：[/yellow][blue]立即对指定目标降低当前最大生命值20%的真实伤害[/blue][red]（死亡后掉落）[/red],$[green]+30攻击力<br>+40%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附带额外物理伤害，伤害量相当于目标当前生命值的5%/基础攻速（对野怪无效）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue]<br>[yellow]唯一主动 狩猎：[/yellow][blue]立即对指定目标降低当前最大生命值20%的真实伤害[/blue][red]（死亡后掉落）[/red],0,1,[size=18][orange]克高血量[/orange][/size]
